名称	voice参数值	类型
阿斌	abin	广东普通话
知小白	zhixiaobai	普通话女声
知小夏	zhixiaoxia	普通话女声
知小妹	zhixiaomei	普通话女声
知柜	zhigui	普通话女声
知硕	zhishuo	普通话男声
艾夏	aixia	普通话女声
Cally	cally	美式英文女声
知锋_多情感	zhifeng_emo 	多种情感男声
知冰_多情感	zhibing_emo 	多种情感男声
知妙_多情感	zhimiao_emo	多种情感女声
知米_多情感	zhimi_emo	多种情感女声
知燕_多情感	zhiyan_emo	多种情感女声
知贝_多情感	zhibei_emo	多种情感童声
知甜_多情感	zhitian_emo	多种情感女声
小云	xiaoyun	标准女声
小刚	xiaogang	标准男声
若兮	ruoxi	温柔女声
思琪	siqi	温柔女声
思佳	sijia	标准女声
思诚	sicheng	标准男声
艾琪	aiqi	温柔女声
艾佳	aijia	标准女声
艾诚	aicheng	标准男声
艾达	aida	标准男声
宁儿	ninger	标准女声
瑞琳	ruilin	标准女声
思悦	siyue	温柔女声
艾雅	aiya	严厉女声
艾美	aimei	甜美女声
艾雨	aiyu	自然女声
艾悦	aiyue	温柔女声
艾婧	aijing	严厉女声
小美	xiaomei	甜美女声
艾娜	aina	浙普女声
伊娜	yina	浙普女声
思婧	sijing	严厉女声
思彤	sitong	儿童音
小北	xiaobei	萝莉女声
艾彤	aitong	儿童音
艾薇	aiwei	萝莉女声
艾宝	aibao	萝莉女声
Harry	harry	英音男声
Abby	abby	美音女声
Andy	andy	美音男声
Eric	eric	英音男声
Emily	emily	英音女声
Luna	luna	英音女声
Luca	luca	英音男声
Wendy	wendy	英音女声
William	william	英音男声
Olivia	olivia	英音女声
姗姗	shanshan	粤语女声
艾媛	aiyuan	知心姐姐
艾颖	aiying	软萌童声
艾祥	aixiang	磁性男声
艾墨	aimo	情感男声
艾晔	aiye	青年男声
艾婷	aiting	电台女声
艾凡	aifan	情感女声
Lydia	lydia	英中双语女声
小玥	chuangirl	四川话女声
艾硕	aishuo	自然男声
青青	qingqing	中国台湾话女声
翠姐	cuijie	东北话女声
小泽	xiaoze	湖南重口音男声
艾楠	ainan	广告男声
艾浩	aihao	资讯男声
艾茗	aiming	诙谐男声
艾笑	aixiao	资讯女声
艾厨	aichu	舌尖男声
艾倩	aiqian	资讯女声
智香	tomoka	日语女声
智也	tomoya	日语男声
Annie	annie	美语女声
艾树	aishu	资讯男声
艾茹	airu	新闻女声
佳佳	jiajia	粤语女声
Indah	indah	印尼语女声
桃子	taozi	粤语女声
柜姐	guijie	亲切女声
Stella	stella	知性女声
Stanley	stanley	沉稳男声
Kenny	kenny	沉稳男声
Rosa	rosa	自然女声
Farah	farah	马来语女声
马树	mashu	儿童剧男声
知琪	zhiqi	温柔女声
知厨	zhichu	舌尖男声
小仙	xiaoxian	亲切女声
悦儿	yuer	儿童剧女声
猫小美	maoxiaomei	活力女声
知祥	zhixiang	磁性男声
知佳	zhijia	标准女声
知楠	zhinan	广告男声
知倩	zhiqian	资讯女声
知茹	zhiru	新闻女声
知德	zhide	新闻男声
知飞	zhifei	激昂解说
艾飞	aifei	激昂解说
亚群	yaqun	卖场广播
巧薇	qiaowei	卖场广播
大虎	dahu	东北话男声
ava	ava	美语女生
知伦	zhilun	悬疑解说
艾伦	ailun	悬疑解说
杰力豆	jielidou	治愈童声
知薇	zhiwei	萝莉女声
老铁	laotie	东北老铁
老妹	laomei	吆喝女声
艾侃	aikan	天津话男声
Tala	tala	菲律宾语女声
知甜	zhitian	甜美女声
知青	zhiqing	中国台湾话女生
Tien	tien	越南语女声
Becca	becca	美语客服女声
Kyong	Kyong	韩语女声
masha	masha	俄语女声
camila	camila	西班牙语女声
perla	perla	意大利语女声
知猫	zhimao	普通话女声
知媛	zhiyuan	普通话女声
知雅	zhiya	普通话女声
知悦	zhiyue	普通话女声
知达	zhida	普通话男声
知莎	zhistella	普通话女声
Kelly	kelly	香港粤语女声
clara	clara	法语女声
hanna	hanna	德语女声
waan	waan	泰语女声
betty	betty	美式英文女声
beth	beth	美式英文女声
cindy	cindy	美式英文女声
donna	donna	美式英文女声
eva	eva	美式英文女声
brian	brian	美式英文男声
david	david	美式英文男声
abby_ecmix	abby_ecmix	美式英文女声
annie_ecmix	annie_ecmix	美式英文女声
andy_ecmix	andy_ecmix	美式英文男声
ava_ecmix	ava_ecmix	美式英文女声
betty_ecmix	betty_ecmix	美式英文女声
beth_ecmix	beth_ecmix	美式英文女声
brian_ecmix	brian_ecmix	美式英文男声
cindy_ecmix	cindy_ecmix	美式英文女声
cally_ecmix	cally_ecmix	美式英文女声
donna_ecmix	donna_ecmix	美式英文女声
david_ecmix	david_ecmix	美式英文男声
eva_ecmix	eva_ecmix	美式英文女声
